Date,Ticker,Company Name,Industry,Adj Close,Volume,SP500_Adj_Close
2014-06-02,GOOG,Alphabet,Technology,552.413,1435000.0,1924.97
2014-06-03,GOOG,Alphabet,Technology,543.448,1866600.0,1924.24
2014-06-04,GOOG,Alphabet,Technology,543.169,1816400.0,1927.88
2014-06-05,GOOG,Alphabet,Technology,552.383,1689100.0,1940.46
2014-06-06,GOOG,Alphabet,Technology,554.807,1736700.0,1949.44
2014-06-09,GOOG,Alphabet,Technology,560.581,1467500.0,1951.27
2014-06-10,GOOG,Alphabet,Technology,559.015,1351700.0,1950.79
2014-06-11,GOOG,Alphabet,Technology,557.31,1100100.0,1943.89
2014-06-12,GOOG,Alphabet,Technology,549.84,1458400.0,1930.11
2014-06-13,GOOG,Alphabet,Technology,550.249,1220500.0,1936.16
2014-06-16,GOOG,Alphabet,Technology,542.79,1702500.0,1937.78
2014-06-17,GOOG,Alphabet,Technology,541.523,1444500.0,1941.99
2014-06-18,GOOG,Alphabet,Technology,551.855,1741700.0,1956.98
2014-06-19,GOOG,Alphabet,Technology,553.381,2456800.0,1959.48
2014-06-20,GOOG,Alphabet,Technology,554.837,4508300.0,1962.87
2014-06-23,GOOG,Alphabet,Technology,563.403,1536800.0,1962.61
2014-06-24,GOOG,Alphabet,Technology,563.074,2207100.0,1949.98
2014-06-25,GOOG,Alphabet,Technology,577.066,1969300.0,1959.53
2014-06-26,GOOG,Alphabet,Technology,574.423,1741900.0,1957.22
2014-06-27,GOOG,Alphabet,Technology,575.66,2236900.0,1960.96
2014-06-30,GOOG,Alphabet,Technology,573.705,1313700.0,1960.23
2014-07-01,GOOG,Alphabet,Technology,581.075,1447900.0,1973.32
2014-07-02,GOOG,Alphabet,Technology,580.741,1056300.0,1974.62
2014-07-03,GOOG,Alphabet,Technology,583.129,714100.0,1985.44
2014-07-07,GOOG,Alphabet,Technology,580.656,1064600.0,1977.65
2014-07-08,GOOG,Alphabet,Technology,569.526,1909500.0,1963.71
2014-07-09,GOOG,Alphabet,Technology,574.503,1116700.0,1972.83
2014-07-10,GOOG,Alphabet,Technology,569.536,1356700.0,1964.68
2014-07-11,GOOG,Alphabet,Technology,577.594,1621700.0,1967.57
2014-07-14,GOOG,Alphabet,Technology,583.269,1854000.0,1977.1
2014-07-15,GOOG,Alphabet,Technology,583.179,1623000.0,1973.28
2014-07-16,GOOG,Alphabet,Technology,581.065,1397100.0,1981.57
2014-07-17,GOOG,Alphabet,Technology,572.159,3016500.0,1958.12
2014-07-18,GOOG,Alphabet,Technology,593.451,4014100.0,1978.22
2014-07-21,GOOG,Alphabet,Technology,587.856,2062100.0,1973.63
2014-07-22,GOOG,Alphabet,Technology,593.112,1699100.0,1983.53
2014-07-23,GOOG,Alphabet,Technology,594.348,1233100.0,1987.01
2014-07-24,GOOG,Alphabet,Technology,591.725,1035100.0,1987.98
2014-07-25,GOOG,Alphabet,Technology,587.407,932400.0,1978.34
2014-07-28,GOOG,Alphabet,Technology,588.983,986800.0,1978.91
2014-07-29,GOOG,Alphabet,Technology,584.007,1349800.0,1969.95
2014-07-30,GOOG,Alphabet,Technology,585.812,1016400.0,1970.07
2014-07-31,GOOG,Alphabet,Technology,570.035,2102700.0,1930.67
2014-08-01,GOOG,Alphabet,Technology,564.52,1955200.0,1925.15
2014-08-04,GOOG,Alphabet,Technology,571.581,1427300.0,1938.99
2014-08-05,GOOG,Alphabet,Technology,563.523,1551200.0,1920.21
2014-08-06,GOOG,Alphabet,Technology,564.823,1334300.0,1920.24
